dish_id, total_calories, total_mass, total_fat, total_carb, total_protein, ingredients
dish_1562691032, 419.681702, 415.000000, 22.039829, 39.058826, 17.947340, berries; olive oil; pineapple; scrambled eggs; roasted potatoes; broccoli
dish_1551374440, 48.059998, 54.000000, 0.162000, 12.420000, 0.594000, banana
dish_1563824250, 17.200001, 43.000000, 0.043000, 3.870000, 0.473000, onions
dish_1560543755, 257.924927, 264.000000, 8.887804, 27.355255, 17.404505, green onions; chicken; cauliflower; green beans; spinach (raw); ginger; olive oil; roasted potatoes; mixed greens; carrot; broccoli; salt; white rice; vinegar; rice noodles; cabbage; radishes; soy sauce; garlic
dish_1558549773, 2.300000, 10.000000, 0.040000, 0.360000, 0.290000, spinach (raw)
dish_1563822597, 59.400002, 176.000000, 2.170667, 7.626667, 4.106667, broccoli; caesar salad; squash; zucchini
dish_1551492561, 357.932007, 159.000000, 28.653000, 7.446000, 18.050001, olives; mushroom; sausage
dish_1566920365, 490.421692, 871.000000, 5.324439, 41.393566, 60.675976, salsa; sweet potato; olive oil; egg whites
dish_1563984242, 402.117035, 753.000000, 3.302390, 36.819611, 49.407761, sweet potato; egg whites; pineapple; olive oil; cantaloupe
dish_1551237016, 92.500000, 37.000000, 5.550000, 0.000000, 9.620000, beef
dish_1551489812, 74.750000, 65.000000, 6.955000, 4.095000, 0.520000, olives
dish_1558459276, 102.699997, 79.000000, 0.237000, 22.120001, 2.133000, white rice
dish_1560974707, 55.025124, 60.000000, 2.003546, 7.088692, 2.992605, onions; spinach (raw); cherry tomatoes; tortilla chips; corn; cheese; salt; chili; tomatoes; garlic; lime; sour cream; black beans
dish_1564686855, 1030.160645, 435.000000, 52.116467, 85.930336, 56.845505, cucumbers; onions; brownies; chicken breast; cherry tomatoes; olives; salt; lettuce; cheese pizza; mixed greens; lime; pepper; olive oil; vinegar
dish_1565119669, 55.965000, 229.000000, 1.030500, 10.842000, 3.272500, kale; zucchini; chard; chayote squash
dish_1566417516, 385.402527, 425.000000, 36.516472, 23.505039, 33.699574, wheat berry; eggplant; cherry tomatoes; mixed greens; celery root; salt; mustard; garlic; olive oil; vinegar; chard; fish; chive; shallots; roasted potatoes; parsley; lemon juice
dish_1558724031, 358.710999, 303.000000, 25.801001, 25.789999, 14.067000, cherry tomatoes; cantaloupe; almonds; cauliflower
dish_1551494178, 369.660004, 230.000000, 14.521000, 36.071999, 26.472002, tortilla; chicken; olives
dish_1551233434, 27.230000, 104.000000, 0.292000, 5.182000, 2.334000, mushroom; cucumbers; broccoli
dish_1551390304, 39.650002, 65.000000, 0.325000, 9.750000, 0.715000, kiwi
dish_1558637393, 739.968018, 128.000000, 63.360001, 29.056000, 28.672001, almonds
dish_1563393217, 49.230003, 228.000000, 0.467667, 9.802668, 2.865667, zucchini; broccoli; squash; onions; cucumbers
dish_1562789268, 569.511536, 350.000000, 22.733551, 64.756828, 32.585655, pork; corn on the cob; brown rice; lemon juice; parsley; basil; shallots; cherry tomatoes; cheese pizza; pepper; salt; vinegar; olive oil; onions; garlic; broccoli
dish_1563998323, 634.505066, 574.000000, 32.486301, 35.302532, 52.964516, roasted potatoes; shallots; olive oil; tatsoi; butter; jalapenos; wheat berry; mushroom; steak; oregano; chicken; pepper; salt; garlic; white wine; cilantro; vinegar; thyme; lemon juice; rosemary; arugula; basil; brown rice; cream; parsley; cauliflower
dish_1568144803, 66.128174, 93.000000, 4.050533, 8.068691, 0.798856, salt; pepper; carrot; olive oil; olives
dish_1551487158, 94.299995, 82.000000, 8.774000, 5.166000, 0.656000, olives
dish_1559700851, 61.089886, 54.000000, 5.827236, 1.897059, 1.151647, spinach (raw); vinegar; tomatoes; salt; mustard; garlic; olive oil; mustard greens; cucumbers
dish_1561997365, 98.951996, 168.000000, 0.672000, 6.048000, 16.800001, yogurt
dish_1551395233, 139.410004, 113.000000, 2.094000, 5.964000, 24.362000, chicken; corn; shrimp
dish_1561492204, 488.636322, 334.000000, 15.686282, 49.120712, 37.193401, olive oil; blueberries; onions; tomatoes; salt; fried rice; chicken; pepper; mustard; garlic; bell peppers; millet; jalapenos; spinach (raw); vinegar; radishes
dish_1567613057, 406.686310, 749.000000, 4.968488, 45.862511, 40.698200, olive oil; egg whites; watermelon; sweet potato; salsa
dish_1563996485, 178.039185, 201.000000, 11.607642, 16.567097, 4.172902, salt; pepper; blueberries; chard; arugula; vinegar; mustard; olive oil; walnuts; roasted potatoes; cauliflower
dish_1550775393, 402.750031, 166.000000, 30.093002, 28.189999, 12.973000, broccoli; nuts; banana
dish_1564761488, 327.986023, 336.000000, 8.358000, 40.558998, 21.735001, turkey bacon; egg whites; fried rice; honeydew melons
dish_1551376970, 125.389999, 184.000000, 1.204000, 29.699999, 2.723000, kiwi; corn; berries
dish_1559239151, 9.200000, 40.000000, 0.160000, 1.440000, 1.160000, spinach (raw)
dish_1559678330, 169.694122, 150.000000, 16.186766, 5.269608, 3.199019, olive oil; spinach (raw); vinegar; tomatoes; garlic; cucumbers; salt; mustard; mustard greens
dish_1563998210, 148.089218, 91.000000, 4.958992, 2.163187, 22.614895, garlic; olive oil; thyme; lemon juice; butter; cream; oregano; chicken; pepper; white wine; shallots; arugula; rosemary; mushroom; basil; wheat berry; salt
dish_1565033110, 47.599998, 147.000000, 0.588000, 9.355000, 3.418000, broccoli; mixed greens
dish_1564428444, 157.001038, 277.000000, 10.327390, 14.948835, 4.712034, olive oil; onions; salt; garlic; pears; mixed greens; mustard; cherry tomatoes; cauliflower; vinegar
dish_1558459115, 271.540009, 298.000000, 10.487999, 43.459003, 6.616000, almonds; apple; white rice; cherry tomatoes; grapes
dish_1564082178, 549.203613, 348.000000, 15.769115, 9.967051, 86.590042, chard; rosemary; garlic; salt; chicken; lemon juice; chive; carrot; olive oil; parsley; basil; brown rice
dish_1550707756, 87.500000, 35.000000, 5.250000, 0.000000, 9.099999, beef
dish_1558723777, 74.360001, 143.000000, 0.286000, 20.020000, 0.429000, apple
dish_1558721757, 768.873047, 133.000000, 65.834999, 30.191000, 29.792002, almonds
dish_1551227216, 5.280000, 24.000000, 0.072000, 0.792000, 0.744000, mushroom
dish_1564777960, 331.007507, 147.000000, 16.715342, 16.270294, 26.431200, spinach (cooked); cheese pizza; shallots; onions; salt; olive oil; vinegar; bok choy; beef; millet
dish_1551492702, 28.500000, 114.000000, 0.342000, 5.700000, 2.052000, cauliflower
dish_1563378110, 348.823059, 405.000000, 11.770057, 31.482302, 26.479719, cantaloupe; sweet potato; olive oil; pineapple; egg whites; sausage; yam
dish_1558376306, 372.167999, 108.000000, 29.484001, 4.536000, 20.844000, sausage
dish_1558114086, 74.360001, 143.000000, 0.286000, 0.429000, 20.020000, deprecated
dish_1550771267, 20.299999, 58.000000, 0.232000, 4.060000, 1.392000, broccoli
dish_1551390215, 15.050000, 43.000000, 0.172000, 3.010000, 1.032000, broccoli
dish_1558720236, 887.823059, 407.000000, 66.440002, 60.460999, 31.913002, apple; carrot; cauliflower; almonds
dish_1563468269, 129.010010, 302.000000, 0.560000, 32.762001, 1.768000, berries; watermelon; pineapple
dish_1558380557, 699.320068, 212.000000, 54.440002, 24.960001, 32.732002, grapes; almonds; sausage
dish_1562873028, 280.341400, 320.000000, 16.123878, 34.232201, 20.963665, jicama; parsley; nopales; olive oil; cherry tomatoes; chive; fish; pepper; salt; corn; arugula; sour cream; green beans; celery; carrot; couscous; garlic; lime
dish_1551565884, 25.080000, 44.000000, 0.132000, 6.160000, 0.308000, berries
dish_1558637769, 80.079994, 154.000000, 0.308000, 21.559999, 0.462000, apple
dish_1564415022, 69.159996, 133.000000, 0.266000, 0.931000, 13.300000, egg whites
dish_1558724959, 581.441956, 426.000000, 36.466000, 57.004002, 21.298000, brussels sprouts; carrot; almonds; apple
dish_1551391034, 48.959999, 72.000000, 1.008000, 8.639999, 1.728000, oatmeal
dish_1558115867, 132.962997, 23.000000, 11.385000, 5.221000, 5.152000, almonds
dish_1551391302, 26.860001, 79.000000, 0.158000, 6.320000, 0.632000, cantaloupe
dish_1551222877, 104.639999, 48.000000, 1.392000, 21.599998, 2.880000, tortilla
dish_1561580370, 126.795876, 124.000000, 4.963530, 16.201410, 5.410000, spinach (raw); wheat berry; cheese; cherry tomatoes; pasta; pesto; caesar salad; onions
dish_1551223114, 124.500000, 100.000000, 1.576000, 25.859999, 3.936000, tortilla; carrot; broccoli
dish_1562618000, 685.993896, 448.000000, 36.103981, 30.821442, 59.159676, vinegar; olive oil; garlic; mustard greens; pepper; salt; radishes; lemon juice; thyme; brown rice; parsley; basil; arugula; chicken thighs; chickpeas; broccoli
dish_1561061658, 226.000137, 227.000000, 12.284481, 24.678637, 8.949248, croutons; pepper; parmesan cheese; brussels sprouts; mustard greens; garlic; kale; parsley; salt; shallots; arugula; olive oil; lemon juice; caesar dressing; cranberries; bulgur; apple
dish_1559838402, 222.759506, 233.000000, 3.797000, 43.154999, 5.249000, bacon; sweet potato; yam; berries
dish_1566242164, 79.220001, 161.000000, 4.470000, 9.891001, 1.513000, olives; cherry tomatoes; onions
dish_1550775363, 402.750000, 166.000000, 30.093000, 28.190001, 12.973000, banana; broccoli; nuts
dish_1564686832, 829.737549, 392.000000, 39.732468, 64.516342, 54.179504, onions; brownies; olives; chicken breast; salt; lime; cherry tomatoes; cheese pizza; lettuce; pepper; mixed greens; olive oil; vinegar; cucumbers
dish_1566502211, 104.279999, 237.000000, 4.977000, 10.191000, 7.584001, caesar salad
dish_1551314967, 142.099991, 139.000000, 7.113000, 15.960001, 7.775000, corn; bacon; lemon
dish_1561753238, 298.034393, 333.000000, 13.711390, 14.026631, 28.881098, olive oil; arugula; brown rice; pepper; squash; kale; salmon; parsley; garlic; lemon juice; salt; tatsoi; thyme; cucumbers
dish_1566938026, 450.576294, 219.000000, 17.546904, 37.536308, 33.509502, spinach (cooked); wine; cheese pizza; salt; lemon juice; squash; eggplant; mushroom; chicken thighs; olive oil; quinoa; garlic; shallots
dish_1562617703, 179.630005, 110.000000, 6.490000, 26.950001, 4.510000, frozen yogurt
dish_1551125357, 23.120001, 68.000000, 0.476000, 4.624000, 0.476000, tomatoes
dish_1559751801, 451.635986, 343.000000, 22.040001, 32.778000, 29.228001, berries; yam; eggs; chicken apple sausage
dish_1564000490, 532.706482, 325.000000, 19.150002, 49.639648, 39.909866, pepper; arugula; cream; caesar salad; butter; shallots; cheese pizza; salt; garlic; lemon juice; basil; mushroom; wheat berry; oregano; thyme; olive oil; rosemary; white wine; chicken
dish_1551389684, 6.732000, 33.000000, 0.033000, 1.287000, 0.726000, asparagus
dish_1564000459, 485.186493, 217.000000, 16.882004, 44.995647, 36.453865, butter; wheat berry; thyme; olive oil; rosemary; lemon juice; cheese pizza; shallots; garlic; salt; white wine; pepper; cream; mushroom; arugula; oregano; basil; chicken
dish_1558457530, 16.000000, 64.000000, 0.192000, 3.200000, 1.152000, cauliflower
dish_1551563213, 137.089996, 137.000000, 6.757000, 11.004000, 9.523000, ham; berries; olives
dish_1558723449, 74.360001, 143.000000, 0.286000, 20.020000, 0.429000, apple
dish_1567628157, 373.190979, 355.000000, 36.018696, 25.867041, 37.479683, green onions; fish; apple; arugula; onions; chard; country rice; cranberries; lemon juice; garlic; salt; parsley; kale; olive oil; mustard greens; shallots; bulgur
dish_1566502505, 454.517365, 275.000000, 22.459690, 33.146801, 31.874937, sun dried tomatoes; bok choy; pork; corn on the cob; cucumbers; onions; salt; soy sauce; garlic; sugar; pepper; white rice; vinegar; spinach (raw); mustard; olive oil
dish_1565728415, 194.427750, 80.000000, 8.405299, 16.724396, 12.005533, cheese pizza; shallots; spinach (cooked); onions; olive oil; vinegar; millet; salt; bok choy; beef
dish_1550775318, 333.850006, 55.000000, 29.700001, 11.549999, 11.000000, nuts
dish_1565383026, 171.559998, 287.000000, 14.031000, 12.198999, 3.695000, spinach (raw); cucumbers; olives
dish_1558642089, 39.360001, 96.000000, 0.192000, 9.600000, 0.864000, carrot
dish_1566849923, 127.970001, 240.000000, 7.515000, 16.214001, 2.093000, olives; cherry tomatoes; carrot
dish_1550863247, 17.160000, 33.000000, 0.066000, 4.620000, 0.099000, apple
dish_1550772027, 66.300003, 142.000000, 0.564000, 15.336000, 1.476000, bell peppers; tomatoes; berries
dish_1550797833, 292.003998, 168.000000, 17.580000, 19.098000, 14.083000, sausage; orange; potatoes
dish_1562959732, 374.663696, 232.000000, 14.678156, 31.110981, 28.858997, salt; soy sauce; bok choy; pork; parsnips; pepper; garlic; sugar; white rice
dish_1560368972, 196.840424, 107.000000, 8.696033, 13.621221, 14.673440, pork; cherry tomatoes; garlic; shallots; white rice; salt; onions; basil; olive oil; brown rice; vinegar; pepper; broccoli; lemon juice; parsley
dish_1566502537, 517.644226, 315.000000, 24.272230, 34.292435, 41.827816, corn on the cob; vinegar; parsley; sun dried tomatoes; rosemary; carrot; salt; garlic; mustard; cucumbers; lemon juice; olive oil; chive; pork; chicken; spinach (raw); pepper; bok choy; white rice; brown rice; soy sauce; chard; sugar; onions; basil
dish_1561576590, 29.231468, 101.000000, 1.295191, 3.387423, 0.896671, squash; olive oil; salt
dish_1558723866, 14.750000, 59.000000, 0.177000, 2.950000, 1.062000, cauliflower
dish_1564778030, 504.417786, 283.000000, 31.904985, 23.514265, 30.773952, millet; spinach (cooked); vinegar; onions; cheese pizza; broccoli; bok choy; mixed greens; shallots; blue cheese; beef; olive oil; mustard; garlic; walnuts; lettuce; salt
dish_1551222759, 14.800000, 37.000000, 0.074000, 3.330000, 0.740000, bell peppers
dish_1551380950, 84.419998, 21.000000, 6.930000, 0.273000, 5.250000, cheese
dish_1561392512, 42.750000, 75.000000, 0.225000, 10.500000, 0.525000, berries
dish_1564675118, 177.188782, 238.000000, 4.080829, 34.125175, 2.032732, olive oil; watermelon; sweet potato
dish_1566838407, 358.947601, 558.000000, 9.825659, 62.420345, 9.731463, pineapple; scrambled eggs; sweet potato; berries; olive oil; watermelon
dish_1559319860, 70.330002, 13.000000, 5.460000, 0.182000, 4.810000, bacon
dish_1559242568, 116.116005, 203.000000, 0.203000, 30.855999, 0.812000, pears
dish_1563824339, 85.339996, 175.000000, 4.087000, 12.075000, 2.098000, onions; cherry tomatoes; olives; bell peppers
dish_1551306452, 98.000000, 70.000000, 0.420000, 16.799999, 6.300000, bean(seed)
dish_1567021831, 252.435623, 228.000000, 27.216339, 8.228521, 22.713125, cherry tomatoes; pepper; chive; wheat berry; kale; mustard; olive oil; garlic; walnuts; lemon juice; salt; fish; chard; blueberries; vinegar; arugula; parsley; shallots
dish_1559846099, 206.938995, 114.000000, 14.642001, 15.712999, 7.688000, mandarin oranges; almonds; broccoli
dish_1562873155, 41.336750, 79.000000, 2.052025, 5.391750, 1.386450, green beans; olive oil
dish_1562094621, 10.540000, 34.000000, 0.034000, 2.380000, 0.612000, green beans
dish_1563900150, 202.296600, 154.000000, 12.745122, 10.284879, 10.978048, sweet potato; olive oil; scrambled eggs
dish_1551390979, 55.510002, 91.000000, 0.455000, 13.650001, 1.001000, kiwi
dish_1562086702, 178.529999, 33.000000, 13.860000, 0.462000, 12.210000, bacon
dish_1564429894, 498.769836, 566.000000, 11.819027, 73.531738, 25.254065, quinoa; salt; squash; mayonnaise; arugula; parsley; carrot; couscous; pepper; wheat berry; pork; jalapenos; cabbage; shallots; thyme; olive oil; garlic; lemon juice; cauliflower
dish_1561662458, 124.815498, 119.000000, 4.855837, 21.055183, 3.202388, lettuce; lime; salt; mixed greens; onions; cucumbers; vinegar; corn on the cob; olive oil; pepper; cherry tomatoes
dish_1558720364, 73.839996, 142.000000, 0.284000, 19.879999, 0.426000, apple
dish_1559845290, 66.220001, 86.000000, 0.086000, 14.620000, 1.720000, potatoes
dish_1550707156, 645.002014, 335.000000, 43.278999, 26.605999, 35.140999, scrambled eggs; potatoes; sausage
dish_1559844506, 98.959999, 180.000000, 0.459000, 25.100000, 1.312000, mandarin oranges; grapes; strawberries
dish_1560360055, 362.734009, 180.000000, 27.786999, 4.154000, 22.556999, sausage; scrambled eggs
dish_1551488861, 217.098007, 63.000000, 17.198999, 2.646000, 12.159000, sausage
dish_1567106825, 220.200867, 104.000000, 16.905151, 3.357732, 13.460875, bok choy; millet; blue cheese; onions; mustard; olive oil; shallots; spinach (cooked); mixed greens; salt; beef; vinegar; garlic; lettuce; walnuts
dish_1562099053, 98.382996, 37.000000, 3.478000, 12.395000, 4.144000, cheese pizza
dish_1560453380, 411.388397, 480.000000, 15.234276, 25.491495, 41.922752, zucchini; brown rice; arugula; green beans; wheat berry; rosemary; tomatoes; chicken; pepper; kimchi; spinach (raw); squash; salmon; thyme; olive oil; basil; lemon juice; parsley; salt; garlic
dish_1566849327, 551.702026, 362.000000, 31.255999, 14.870000, 55.122002, parmesan cheese; mixed greens; avocado; olives; chicken
dish_1560527191, 663.989319, 318.000000, 45.395912, 28.933577, 34.380440, mustard greens; cucumbers; bacon; berries; tomatoes; garlic; potatoes; salt; sausage; mustard; vinegar; spinach (raw); olive oil
dish_1563898786, 420.928467, 344.000000, 31.470230, 11.427504, 23.636036, mustard; olive oil; bell peppers; broccoli; radishes; salt; garlic; scrambled eggs; vinegar; cucumbers
dish_1551381829, 2.652000, 13.000000, 0.013000, 0.507000, 0.286000, asparagus
dish_1551376692, 41.279999, 43.000000, 0.645000, 9.030000, 1.462000, corn
dish_1551565752, 122.250000, 131.000000, 2.790000, 13.640000, 10.773000, cauliflower; white rice; ham
dish_1560973958, 145.313232, 121.000000, 6.214187, 20.729744, 4.312272, wheat berry; olive oil; mustard; pecans; lime; salt; raisins; pepper; arugula; orange
dish_1558546663, 330.734009, 197.000000, 22.108002, 30.264000, 10.601000, spinach (raw); almonds; apple
dish_1550861432, 26.789999, 47.000000, 0.141000, 6.580000, 0.329000, berries
dish_1551393210, 484.329987, 190.000000, 34.821003, 31.131001, 18.821001, white rice; tofu; nuts
dish_1563206582, 229.248688, 320.000000, 4.417208, 16.967773, 26.033964, yam; egg whites; olive oil; sweet potato
dish_1565207815, 40.848213, 80.000000, 1.023567, 7.094023, 2.678475, brussels sprouts; salt; pepper; olive oil
dish_1551236712, 32.430000, 69.000000, 0.069000, 8.280000, 0.621000, orange
dish_1568305257, 837.147766, 420.000000, 65.496887, 9.313250, 52.072983, turkey bacon; salt; bell peppers; mustard; olive oil; cucumbers; vinegar; scrambled eggs; garlic; radishes
dish_1550712024, 29.920000, 88.000000, 0.616000, 5.984000, 0.616000, tomatoes
dish_1551139367, 77.750000, 105.000000, 1.863000, 9.420000, 6.735000, ham; pineapple; mixed greens
dish_1568314823, 144.000000, 90.000000, 13.500001, 8.100000, 1.800000, avocado
dish_1565119464, 504.065033, 223.000000, 23.109737, 44.413990, 28.041883, millet; apple; cheese pizza; salt; olive oil; onions; cranberries; mustard; vinegar; spinach (raw); spinach (cooked); beef; shallots; bok choy
dish_1565725047, 77.659996, 110.000000, 4.840000, 9.372000, 0.946000, carrot; olives
dish_1551236011, 281.720001, 307.000000, 4.474000, 21.995998, 38.446003, orange; mixed greens; chicken
dish_1550705623, 20.400000, 51.000000, 0.102000, 4.590000, 1.020000, bell peppers
dish_1559841163, 357.043518, 335.000000, 18.222002, 27.539000, 21.153002, blackberries; scrambled eggs; yam; sweet potato; chicken apple sausage; broccoli
dish_1563568338, 631.706665, 371.000000, 29.600521, 57.599113, 38.704674, salt; garlic; olive oil; kale; onions; wheat berry; mushroom; corn on the cob; ground turkey; chive; cheese pizza; carrot; thyme; celery; cream; white rice; eggs
dish_1551395512, 25.500000, 51.000000, 0.051000, 6.630000, 0.255000, pineapple
dish_1563468299, 210.350006, 385.000000, 4.129000, 35.584000, 10.898000, cottage cheese; pineapple; watermelon; berries
dish_1558027001, 20.400002, 68.000000, 0.068000, 5.168000, 0.408000, deprecated
dish_1551568059, 35.669998, 123.000000, 0.369000, 11.070001, 1.353000, lemon
dish_1565033265, 1324.084961, 625.000000, 106.343002, 19.202002, 76.664001, olives; mixed greens; broccoli; chicken; vinaigrette; olive oil
dish_1551323574, 61.880001, 91.000000, 1.274000, 10.920000, 2.184000, oatmeal
dish_1551491271, 43.500000, 30.000000, 1.800000, 0.450000, 6.300000, ham
dish_1563475921, 244.343323, 348.000000, 6.723852, 27.165054, 19.799664, shallots; garlic; lemon juice; onions; spinach (raw); jalapenos; pineapple; cauliflower; honeydew melons; chili; salt; olive oil; lime; ginger; brown rice; cilantro; salmon
dish_1561665024, 100.570984, 121.000000, 6.984664, 8.948565, 2.141329, lemon juice; onions; olive oil; mixed greens; parsley; salt; apple; millet; green beans; vinegar
dish_1550710448, 48.910000, 67.000000, 3.216000, 1.273000, 5.360000, tofu
dish_1563813308, 224.982895, 76.000000, 16.446194, 3.901661, 15.332276, salt; pepper; brussels sprouts; olive oil; bacon
dish_1551235600, 83.659996, 178.000000, 0.178000, 21.359999, 1.602000, orange
dish_1561062555, 47.093922, 32.000000, 3.147569, 4.405365, 1.027732, apple; shallots; salt; bulgur; olive oil; cranberries; lemon juice; mustard greens; parsley; arugula; garlic
dish_1558723414, 51.988998, 49.000000, 1.176000, 10.780000, 1.519000, corn on the cob
dish_1562691674, 376.976868, 435.000000, 11.338250, 42.573318, 26.482393, sweet potato; olive oil; broccoli; egg whites; yam; greek yogurt; chia seeds; chicken apple sausage; milk
dish_1566591080, 909.629578, 549.000000, 43.513371, 19.378721, 103.567314, pepper; salmon; chicken; olives; arugula; brown rice; chicken salad; olive oil; thyme; carrot; salt
dish_1550862648, 16.119999, 31.000000, 0.062000, 4.340000, 0.093000, apple
dish_1564082462, 905.354492, 609.000000, 32.071827, 40.532917, 108.822510, soy sauce; pesto; cherry tomatoes; brown rice; chard; spinach (raw); pork; cheese; caesar salad; parsley; white rice; sugar; garlic; carrot; salt; pepper; bok choy; pasta; olive oil; basil; rosemary; lemon juice; onions; chive; chicken
dish_1562602860, 165.182281, 258.000000, 5.622155, 20.834251, 10.206213, strawberries; milk; chia seeds; greek yogurt; watermelon
dish_1568217372, 508.916168, 244.000000, 41.079079, 6.503528, 27.115328, bell peppers; scrambled eggs; salt; mustard; cucumbers; olive oil; vinegar; radishes; sausage; garlic
dish_1561739954, 276.119995, 225.000000, 16.059999, 16.556000, 15.390000, sweet potato; scrambled eggs
dish_1558638983, 59.416000, 56.000000, 1.344000, 12.320000, 1.736000, corn on the cob
dish_1558631825, 118.832001, 112.000000, 2.688000, 24.639999, 3.472000, corn on the cob
