,Age,Attrition,BusinessTravel,DailyRate,Department,Education,JobRole,DistanceFromHome,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,WorkLifeBalance
21,50,No,Non-Travel,512,S,a,l,1,4,F,51,3,3,5,Single,11139,12263,2,Y,No,9,1,80,4
22,38,No,Travel_Frequently,488,T,e,c,1,3,F,44,3,2,3,Divorced,11318,12252,3,Y,No,16,3,80,1
23,61,No,Non-Travel,488,S,a,l,3,4,F,49,4,1,5,Divorced,11138,10088,3,Y,No,15,1,80,2
24,30,No,Travel_Frequently,481,S,a,l,6,5,M,46,5,3,3,Divorced,9564,11622,3,Y,No,9,2,80,4
25,36,Yes,Travel_Rarely,494,R,e,s,6,4,M,47,2,1,5,Married,10157,10975,4,Y,Yes,10,3,80,3
26,40,Yes,Non-Travel,493,R,e,s,4,4,F,46,3,3,2,Married,9935,11655,2,Y,Yes,4,1,80,3
27,39,No,Non-Travel,510,T,e,c,7,4,F,47,3,2,4,Divorced,9429,11428,1,Y,No,10,2,80,2
28,50,Yes,Non-Travel,482,R,e,s,6,4,M,48,2,1,3,Married,10204,8678,3,Y,No,4,2,80,2
29,42,No,Non-Travel,497,S,a,l,1,4,F,49,4,3,5,Single,9212,10217,2,Y,No,3,3,80,2
30,45,No,Non-Travel,499,T,e,c,4,2,M,49,2,1,3,Single,10071,10071,4,Y,No,9,4,80,3
31,52,No,Non-Travel,510,R,e,s,4,3,F,48,2,2,5,Single,9433,11038,3,Y,Yes,9,3,80,1
32,33,No,Non-Travel,502,T,e,c,1,4,F,53,4,1,5,Married,11482,9999,1,Y,No,11,3,80,3
33,37,No,Non-Travel,505,S,a,l,2,4,F,49,3,2,3,Single,9579,10182,3,Y,No,7,2,80,2
34,41,No,Non-Travel,503,S,a,l,2,3,F,48,4,2,4,Married,9042,10549,1,Y,No,11,2,80,3
35,43,No,Non-Travel,487,S,a,l,8,5,M,50,5,1,5,Married,9400,8270,2,N,No,6,2,80,2
36,41,No,Non-Travel,504,T,e,c,4,4,F,47,3,3,4,Married,10071,11162,1,Y,No,3,3,80,2
37,50,No,Travel_Frequently,503,S,a,l,9,3,M,47,4,1,5,Single,9073,6908,3,Y,No,14,2,80,2
38,48,No,Non-Travel,489,R,e,s,4,3,F,50,3,1,2,Married,9385,10291,4,Y,Yes,11,2,80,3
39,36,No,Non-Travel,503,T,e,c,6,2,F,51,3,2,4,Single,12037,7820,2,Y,No,2,3,80,3
40,19,No,Non-Travel,500,S,a,l,4,3,M,50,4,2,5,Married,10402,9810,2,Y,No,19,1,80,2
41,39,No,Non-Travel,501,R,e,s,6,3,M,50,4,2,4,Married,10050,8459,3,Y,No,14,1,80,2
42,33,No,Non-Travel,497,S,a,l,4,4,F,50,4,2,3,Married,10470,9237,3,Y,No,1,1,80,4
43,39,No,Non-Travel,516,S,a,l,4,5,M,47,2,3,2,Married,10321,10701,2,Y,Yes,16,3,80,3
44,43,No,Travel_Frequently,507,S,a,l,5,4,M,51,3,3,3,Married,7717,8724,2,Y,Yes,16,1,80,1
45,45,No,Non-Travel,499,S,a,l,7,4,M,50,4,1,2,Single,11039,10279,2,Y,No,6,3,80,3
46,36,No,Non-Travel,502,R,e,s,7,4,M,48,3,3,5,Single,10703,10556,4,Y,Yes,1,2,80,3
47,25,No,Non-Travel,490,S,a,l,3,4,F,51,3,1,4,Married,9703,9772,3,Y,No,8,1,80,1
48,47,No,Non-Travel,518,S,a,l,4,2,M,47,4,2,4,Divorced,10365,9647,2,Y,No,8,2,80,4
49,42,No,Non-Travel,507,T,e,c,7,2,F,51,5,3,4,Married,10343,8202,2,Y,No,9,3,80,3
50,42,Yes,Non-Travel,466,T,e,c,5,4,F,48,3,2,2,Single,9763,8469,2,Y,Yes,8,3,80,3
51,47,No,Non-Travel,519,R,e,s,0,4,M,45,3,3,2,Married,9437,10585,3,Y,No,15,2,80,1
52,34,No,Non-Travel,491,R,e,s,3,4,M,49,4,2,2,Single,11335,11412,3,Y,No,4,2,80,3
53,57,No,Non-Travel,491,S,a,l,3,3,F,52,3,3,3,Married,9087,9071,2,Y,No,9,1,80,2
54,31,No,Non-Travel,499,T,e,c,3,2,F,49,3,3,5,Divorced,10750,9801,2,Y,Yes,8,2,80,2
55,64,Yes,Non-Travel,489,S,a,l,3,4,F,51,4,1,2,Married,10777,9917,1,Y,Yes,4,1,80,3
56,45,No,Non-Travel,507,T,e,c,2,2,F,51,4,2,5,Married,11290,10705,1,Y,No,12,2,80,2
57,39,No,Non-Travel,520,S,a,l,2,3,F,49,4,1,2,Single,10385,9555,3,Y,No,9,1,80,3
58,15,No,Non-Travel,504,R,e,s,1,3,M,45,3,1,5,Married,10729,10859,0,Y,No,17,3,80,2
59,45,No,Travel_Frequently,493,R,e,s,8,3,F,53,3,2,2,Married,9102,10125,1,Y,No,17,3,80,2
60,50,No,Non-Travel,505,R,e,s,4,4,F,55,2,2,3,Single,9926,9246,2,Y,No,15,2,40,3
61,46,Yes,Non-Travel,508,R,e,s,7,2,M,49,5,1,4,Married,8591,11253,3,Y,Yes,6,2,80,3
62,33,No,Travel_Frequently,490,S,a,l,8,5,F,50,4,1,3,Single,10978,10710,2,Y,Yes,3,1,80,3
63,49,No,Non-Travel,506,R,e,s,4,4,M,50,4,3,5,Single,11952,9512,3,Y,No,4,3,80,1
64,57,Yes,Non-Travel,490,S,a,l,5,3,M,48,3,2,5,Married,8112,10494,4,Y,Yes,0,3,80,2
65,31,No,Non-Travel,495,R,e,s,4,4,F,52,5,3,2,Married,10052,11852,3,Y,No,10,2,80,4
66,58,Yes,Non-Travel,502,R,e,s,4,5,F,50,2,3,5,Married,9702,11793,3,Y,No,8,4,80,3
67,37,Yes,Non-Travel,497,T,e,c,5,4,F,53,3,2,2,Single,9534,11318,0,Y,Yes,7,1,80,2
68,41,No,Travel_Rarely,504,R,e,s,5,4,M,50,3,2,2,Married,9079,10471,3,Y,No,10,1,80,4
69,52,No,Non-Travel,497,T,e,c,4,4,F,51,2,1,2,Divorced,8814,7399,4,Y,No,7,3,80,2
70,38,No,Non-Travel,503,T,e,c,6,5,M,50,2,1,4,Divorced,11899,8482,3,Y,No,10,2,80,2
71,49,No,Non-Travel,491,T,e,c,5,3,F,49,3,3,4,Married,11628,10702,4,Y,No,18,3,80,2
72,37,No,Non-Travel,492,T,e,c,5,4,M,52,5,3,5,Single,10335,10394,2,Y,No,14,2,80,2
73,33,No,Travel_Frequently,516,R,e,s,3,3,M,53,4,1,5,Married,9118,9853,4,Y,No,11,3,80,3
74,43,Yes,Non-Travel,491,T,e,c,5,4,F,49,4,1,2,Married,9420,12018,2,Y,Yes,6,3,80,3
75,51,Yes,Non-Travel,503,T,e,c,5,5,M,50,5,3,2,Married,10192,11267,2,Y,Yes,6,1,80,3
76,49,No,Non-Travel,492,T,e,c,5,4,F,50,2,3,4,Married,10632,9822,3,Y,No,9,2,80,3
77,35,No,Non-Travel,505,S,a,l,7,2,M,48,3,1,3,Married,9145,9655,1,N,Yes,11,2,80,3
78,40,No,Non-Travel,491,S,a,l,7,4,F,51,4,1,3,Single,11578,9958,3,Y,Yes,13,2,80,3
79,35,No,Non-Travel,513,R,e,s,5,3,M,49,3,2,2,Married,9106,10543,2,N,No,10,3,80,2
80,36,No,Travel_Frequently,507,R,e,s,6,5,M,48,2,1,5,Married,9377,10337,2,Y,No,17,3,80,3
81,39,No,Non-Travel,480,S,a,l,5,5,M,53,4,2,4,Single,11279,9247,2,Y,Yes,5,1,80,3
82,43,No,Travel_Rarely,471,S,a,l,3,4,F,47,3,2,5,Married,10995,11588,3,Y,No,9,3,80,3
83,38,No,Non-Travel,501,T,e,c,8,3,F,48,4,3,5,Married,10263,11160,1,Y,No,5,3,80,1
84,33,No,Non-Travel,489,R,e,s,3,3,F,48,4,1,5,Married,8694,8979,0,Y,No,10,2,80,2
85,35,No,Non-Travel,476,T,e,c,6,4,F,48,4,2,3,Married,11200,11223,3,Y,No,17,2,80,4
86,44,Yes,Non-Travel,498,S,a,l,4,4,M,47,3,2,4,Married,9699,10243,3,Y,No,8,2,80,3
87,49,Yes,Non-Travel,494,R,e,s,4,4,M,50,3,3,5,Married,10354,11058,3,Y,Yes,17,2,80,3
88,44,No,Non-Travel,498,S,a,l,1,3,M,48,3,3,2,Married,9510,10365,3,Y,No,11,4,80,3
89,49,No,Non-Travel,495,S,a,l,4,3,M,52,2,1,5,Married,10004,8611,2,Y,No,9,4,80,3
90,42,No,Non-Travel,516,T,e,c,4,4,F,48,2,1,4,Married,9113,8785,3,Y,No,10,2,40,3
91,45,No,Non-Travel,504,T,e,c,2,2,M,49,3,2,3,Single,10562,11222,2,Y,Yes,8,1,80,1
92,40,No,Non-Travel,496,S,a,l,6,2,M,50,3,3,4,Divorced,9439,10266,1,Y,No,11,3,80,3
93,47,No,Non-Travel,506,R,e,s,6,3,F,52,4,3,5,Single,10513,11704,2,Y,No,15,1,80,1
94,66,No,Non-Travel,498,T,e,c,3,3,M,49,4,2,5,Married,10814,9228,3,Y,No,3,3,80,3
95,42,No,Travel_Rarely,509,T,e,c,7,3,F,50,3,2,3,Divorced,9759,11320,3,Y,Yes,7,2,80,3
96,62,No,Non-Travel,491,S,a,l,1,3,F,47,4,3,5,Married,10525,10868,2,Y,Yes,13,2,80,3
97,41,No,Non-Travel,504,S,a,l,7,3,M,49,4,3,2,Married,10236,9000,1,Y,No,4,3,80,2
98,49,No,Non-Travel,499,S,a,l,1,4,F,48,2,3,2,Divorced,11535,9240,4,Y,Yes,6,3,80,3
99,34,No,Non-Travel,508,S,a,l,7,4,F,52,3,1,4,Married,10483,9065,3,Y,Yes,11,1,80,3
100,43,No,Non-Travel,492,T,e,c,6,3,M,50,4,3,5,Married,10256,9595,2,Y,No,10,2,80,4
101,42,No,Travel_Frequently,499,R,e,s,4,3,M,54,2,3,4,Single,11018,10172,4,Y,No,4,3,80,3
102,39,Yes,Non-Travel,500,S,a,l,5,3,M,51,3,1,4,Married,9903,9830,3,Y,No,2,3,80,3
103,47,No,Non-Travel,499,S,a,l,5,3,M,55,4,3,2,Married,13702,9868,2,Y,No,7,1,80,4
104,45,No,Non-Travel,489,R,e,s,3,4,M,45,2,3,3,Married,11753,10260,3,Y,No,8,3,80,1
105,39,No,Non-Travel,492,S,a,l,3,4,F,49,2,3,2,Divorced,10708,10329,3,Y,No,20,3,80,3
106,45,No,Non-Travel,510,T,e,c,3,4,F,48,5,3,5,Single,9579,9901,2,Y,Yes,10,2,80,3
107,36,No,Non-Travel,507,S,a,l,5,4,F,49,4,3,3,Married,10910,10183,2,Y,No,14,1,80,3
108,37,No,Travel_Rarely,502,R,e,s,6,3,F,48,4,1,5,Single,10887,11344,3,Y,No,5,2,80,3
109,41,No,Non-Travel,504,R,e,s,5,3,M,47,2,1,3,Married,10056,10461,4,Y,No,2,4,80,3
110,49,No,Non-Travel,485,S,a,l,3,3,F,52,3,1,3,Divorced,8977,8304,1,Y,No,12,1,80,3
111,55,No,Non-Travel,504,S,a,l,3,5,M,51,4,1,5,Married,10957,9864,3,Y,No,11,3,80,3
112,39,No,Non-Travel,499,S,a,l,4,4,M,45,4,3,4,Married,8339,10488,1,Y,Yes,24,3,80,2
113,46,No,Travel_Frequently,508,T,e,c,3,4,M,50,4,3,5,Married,10344,10491,3,Y,Yes,17,4,80,1
114,37,No,Non-Travel,486,S,a,l,5,3,M,50,2,2,4,Divorced,11055,10743,3,Y,No,13,2,80,2
115,63,No,Non-Travel,513,T,e,c,4,4,M,47,3,2,4,Married,10378,12173,2,Y,No,28,3,80,3
116,34,Yes,Non-Travel,501,S,a,l,6,2,F,50,3,3,5,Married,10480,10636,2,Y,No,16,2,80,4
117,65,No,Non-Travel,468,R,e,s,3,2,M,52,4,3,3,Divorced,10114,10507,1,Y,No,16,2,80,4
118,49,No,Travel_Rarely,505,S,a,l,3,4,F,49,4,2,5,Divorced,10841,11121,2,Y,No,18,2,80,3
119,27,No,Non-Travel,490,T,e,c,6,5,F,52,4,2,4,Married,10071,11310,1,Y,No,3,4,80,2
120,31,No,Travel_Rarely,490,S,a,l,4,3,M,49,5,2,3,Married,9458,11081,1,Y,No,0,2,80,1
121,54,No,Non-Travel,518,R,e,s,3,4,F,48,4,2,2,Single,8903,9831,4,Y,No,4,4,80,4
122,26,No,Non-Travel,496,R,e,s,4,4,M,48,4,2,5,Single,11491,9341,1,Y,No,12,1,80,1
123,46,No,Non-Travel,507,S,a,l,5,5,M,51,4,3,5,Married,9721,8662,3,Y,No,11,2,80,4
124,47,No,Non-Travel,510,T,e,c,1,3,F,49,5,2,4,Single,9306,10615,2,Y,No,14,1,80,4
125,44,No,Non-Travel,502,S,a,l,5,4,F,50,3,1,4,Married,10309,9011,2,Y,No,20,2,80,2
126,30,No,Non-Travel,505,S,a,l,4,2,F,49,2,3,2,Married,11082,9588,4,Y,Yes,1,3,80,1
127,42,No,Non-Travel,514,T,e,c,5,4,M,47,2,1,3,Married,10984,10284,3,Y,No,5,2,80,2
128,45,No,Non-Travel,505,R,e,s,4,3,F,50,4,1,3,Single,11008,8982,2,Y,Yes,7,3,80,2
129,51,No,Non-Travel,486,T,e,c,0,3,F,52,2,1,5,Married,10197,11066,1,Y,No,8,3,80,2
130,42,No,Non-Travel,518,S,a,l,4,5,M,51,2,1,5,Divorced,11403,9428,2,Y,Yes,20,3,80,2
131,41,No,Travel_Frequently,506,R,e,s,9,3,F,54,4,1,3,Divorced,7821,9516,3,Y,No,7,3,80,2
132,43,No,Non-Travel,499,R,e,s,9,4,F,47,4,2,4,Divorced,8851,9951,4,Y,No,7,1,80,3
133,28,No,Non-Travel,490,T,e,c,5,4,M,50,4,3,3,Divorced,11529,9887,1,Y,No,15,1,80,2
134,44,No,Non-Travel,509,S,a,l,6,2,F,51,2,2,5,Single,10921,10362,3,Y,No,18,2,80,1
135,39,No,Non-Travel,487,R,e,s,4,4,F,52,3,1,3,Married,9694,9435,5,Y,No,6,4,80,3
136,39,No,Non-Travel,517,T,e,c,1,4,F,48,5,2,3,Divorced,9038,9637,3,Y,No,9,2,80,1
137,38,No,Non-Travel,504,T,e,c,5,4,F,47,3,2,5,Divorced,10165,11292,2,Y,No,2,2,80,2
138,32,No,Non-Travel,489,R,e,s,6,3,F,51,2,3,4,Divorced,10885,9868,3,Y,No,15,2,80,3
139,40,No,Non-Travel,497,T,e,c,5,5,M,50,4,3,3,Married,8903,10205,2,Y,No,7,4,80,3
140,18,No,Non-Travel,510,T,e,c,3,2,M,47,4,3,4,Single,10553,9692,2,Y,No,0,2,80,4
141,63,No,Non-Travel,516,S,a,l,6,2,F,51,2,3,5,Married,10882,8799,3,Y,No,6,3,80,1
142,48,No,Non-Travel,511,S,a,l,4,3,F,51,3,1,2,Married,11347,9411,3,Y,No,13,3,80,2
143,46,No,Non-Travel,495,R,e,s,1,4,M,49,5,1,5,Married,8791,10654,3,Y,No,13,2,80,3
144,38,No,Travel_Rarely,505,R,e,s,4,3,M,49,2,1,2,Married,9550,10482,3,Y,No,4,1,80,2
145,55,No,Non-Travel,479,R,e,s,5,2,M,50,3,1,5,Married,10413,9877,3,Y,Yes,3,3,80,1
146,39,No,Non-Travel,480,S,a,l,4,2,M,53,2,2,4,Divorced,11275,11061,3,Y,No,13,2,80,3
147,30,No,Non-Travel,484,S,a,l,6,3,F,52,4,1,5,Married,10129,10192,3,Y,No,18,2,80,4
148,41,Yes,Non-Travel,511,R,e,s,5,4,M,50,2,2,5,Divorced,10357,11235,3,Y,Yes,10,2,80,2
149,45,No,Non-Travel,501,S,a,l,3,3,F,48,4,3,3,Married,9067,9588,3,Y,Yes,12,3,80,3
150,35,Yes,Non-Travel,496,R,e,s,4,4,F,51,4,3,4,Married,8317,9552,4,N,No,19,1,80,3
151,50,No,Non-Travel,512,R,e,s,2,4,M,50,4,1,5,Married,10429,9687,1,Y,Yes,11,2,80,3
152,51,Yes,Non-Travel,489,T,e,c,3,2,F,47,3,1,4,Married,9670,10869,2,N,Yes,13,2,80,3
153,51,No,Non-Travel,484,R,e,s,5,3,F,50,2,2,3,Married,10877,9981,4,Y,Yes,14,2,80,3
154,45,No,Non-Travel,509,S,a,l,5,3,F,47,5,2,5,Married,10457,12238,3,Y,No,11,2,80,3
155,38,No,Non-Travel,501,R,e,s,5,2,M,50,3,3,3,Divorced,8566,9446,4,Y,No,7,1,80,3
156,33,No,Non-Travel,513,T,e,c,2,4,M,50,2,2,5,Married,10825,9372,2,Y,No,13,2,80,3
157,50,Yes,Non-Travel,501,T,e,c,6,3,F,49,3,3,4,Married,9703,10783,1,Y,Yes,12,1,80,2
158,34,No,Non-Travel,495,S,a,l,7,4,F,50,4,3,5,Married,10366,9503,1,Y,Yes,11,4,80,3
159,35,No,Non-Travel,495,R,e,s,5,2,F,51,3,3,3,Single,10806,9875,3,Y,Yes,20,3,80,3
160,36,No,Non-Travel,488,S,a,l,3,3,F,51,2,2,5,Single,8463,10162,1,Y,Yes,3,3,80,1
161,33,No,Non-Travel,510,S,a,l,4,4,M,53,3,2,3,Divorced,8959,9952,2,Y,No,9,2,80,3
162,20,No,Non-Travel,509,T,e,c,5,2,F,46,4,2,2,Married,9915,6696,3,Y,No,24,3,80,3
163,28,Yes,Non-Travel,509,S,a,l,4,2,M,48,3,1,4,Single,9509,8670,3,Y,No,19,3,80,4
164,33,No,Travel_Frequently,507,T,e,c,5,4,F,49,4,2,5,Married,10490,9959,4,Y,No,5,4,80,3
165,60,No,Travel_Rarely,515,T,e,c,3,4,F,45,3,1,4,Married,9607,10334,1,Y,Yes,11,3,80,3
166,34,No,Non-Travel,494,S,a,l,4,3,F,48,4,3,5,Divorced,10458,9746,3,Y,No,13,2,80,2
167,44,Yes,Non-Travel,486,T,e,c,8,4,F,50,4,3,5,Married,9349,8531,2,Y,No,10,2,80,3
168,46,No,Non-Travel,502,T,e,c,8,4,F,51,2,3,4,Married,10047,9674,2,Y,No,21,2,80,3
169,39,No,Non-Travel,498,T,e,c,4,2,M,52,2,2,4,Married,9968,10258,3,Y,No,14,2,80,3
170,58,No,Non-Travel,497,T,e,c,6,2,F,50,5,3,3,Married,10579,9671,3,Y,Yes,5,2,80,3
171,26,No,Non-Travel,517,T,e,c,5,5,M,48,2,1,2,Married,10027,8151,3,Y,No,12,1,80,3
172,35,No,Non-Travel,508,R,e,s,9,4,F,51,4,3,4,Married,11592,9599,2,Y,No,9,1,80,4
173,40,Yes,Travel_Rarely,508,R,e,s,3,2,F,47,3,3,2,Single,8879,9850,3,Y,No,14,2,80,2
174,55,No,Travel_Frequently,504,T,e,c,8,4,F,51,2,1,3,Married,9883,9646,3,Y,Yes,1,3,80,4
175,16,No,Non-Travel,525,T,e,c,3,3,M,49,2,3,5,Divorced,10389,10973,2,Y,Yes,5,3,80,3
176,47,No,Non-Travel,487,R,e,s,3,3,F,49,2,2,4,Divorced,10541,10748,2,Y,No,1,1,80,3
177,46,No,Non-Travel,507,S,a,l,5,3,F,52,3,2,5,Divorced,10139,10100,2,Y,No,6,1,80,3
178,42,No,Non-Travel,499,S,a,l,2,2,M,50,4,3,5,Married,9997,10865,2,Y,Yes,11,1,80,2
179,34,Yes,Non-Travel,497,S,a,l,5,2,F,47,3,2,4,Married,8446,9434,2,Y,Yes,5,2,80,3
180,33,No,Non-Travel,500,S,a,l,3,3,F,50,4,3,3,Married,8704,10267,1,Y,Yes,13,2,80,3
181,47,No,Non-Travel,492,S,a,l,4,3,M,50,4,3,4,Married,10763,9155,3,Y,Yes,9,2,80,4
182,45,Yes,Non-Travel,504,S,a,l,5,4,F,47,3,1,3,Married,11108,9030,4,Y,No,12,1,80,3
183,38,No,Non-Travel,493,S,a,l,9,4,M,49,3,3,4,Married,11835,10337,5,Y,No,2,3,80,1
184,46,Yes,Non-Travel,507,S,a,l,2,2,F,49,5,3,3,Married,8760,10232,3,Y,No,11,4,80,3
185,39,No,Travel_Frequently,496,S,a,l,3,4,F,47,4,3,4,Married,9741,10200,2,Y,No,11,2,80,3
186,48,No,Non-Travel,494,S,a,l,2,3,F,49,3,3,5,Married,11209,9178,1,Y,Yes,0,1,80,1
187,52,No,Non-Travel,514,S,a,l,3,4,F,51,4,2,5,Single,11419,9494,1,Y,No,10,2,80,3
188,39,No,Non-Travel,486,S,a,l,5,2,M,50,4,3,4,Married,9692,11587,1,Y,No,8,2,80,1
189,50,No,Non-Travel,512,S,a,l,5,4,F,49,4,3,4,Divorced,8465,10913,3,Y,No,7,2,80,2
190,47,No,Non-Travel,502,R,e,s,5,3,F,47,3,3,4,Married,13143,10514,2,Y,No,10,2,80,1
191,48,No,Non-Travel,507,R,e,s,3,4,M,49,5,1,3,Married,9672,10083,4,Y,Yes,14,3,80,3
192,39,No,Non-Travel,507,S,a,l,4,4,M,50,5,3,4,Married,9079,9655,3,Y,No,4,3,80,2
193,45,No,Non-Travel,509,S,a,l,4,4,F,49,4,2,5,Married,8969,9347,3,N,No,8,4,80,3
194,52,Yes,Non-Travel,507,S,a,l,3,2,M,48,3,3,4,Divorced,10681,10511,2,Y,Yes,18,2,80,1
195,53,Yes,Non-Travel,502,R,e,s,3,2,F,50,3,1,2,Married,8626,8763,4,Y,No,6,4,80,4
196,58,No,Non-Travel,518,T,e,c,5,2,F,50,3,3,5,Married,10085,9149,2,Y,No,4,2,80,2
197,32,Yes,Non-Travel,498,S,a,l,8,3,F,50,3,1,2,Single,9869,10940,3,N,No,11,2,80,3
198,52,No,Non-Travel,504,S,a,l,3,4,M,45,3,2,3,Married,8993,9822,2,Y,Yes,14,2,80,3
199,36,Yes,Travel_Frequently,508,S,a,l,5,4,F,45,3,2,2,Married,10589,9633,3,Y,Yes,12,4,80,1
200,36,No,Non-Travel,512,S,a,l,7,4,M,54,4,3,4,Single,8619,9944,5,Y,Yes,13,3,80,2
201,46,No,Non-Travel,498,S,a,l,3,4,M,49,4,1,5,Married,10679,11027,3,N,Yes,12,3,80,2
202,57,No,Non-Travel,493,R,e,s,7,3,F,48,4,2,2,Married,11090,9144,2,Y,Yes,12,3,80,2
203,49,No,Travel_Frequently,510,S,a,l,1,3,F,48,3,2,5,Married,9996,9411,2,Y,Yes,8,3,80,2
204,50,No,Non-Travel,503,T,e,c,4,3,F,52,3,2,4,Married,9535,10182,1,Y,No,9,2,80,1
205,49,No,Non-Travel,504,T,e,c,6,3,F,49,4,2,5,Married,9251,11524,2,Y,No,7,2,80,3
206,51,No,Travel_Frequently,466,T,e,c,1,2,F,48,4,3,2,Married,8280,11840,3,N,No,15,2,80,1
207,46,Yes,Non-Travel,491,T,e,c,4,3,M,52,3,3,3,Divorced,10986,8758,4,Y,Yes,19,2,80,2
208,42,Yes,Non-Travel,495,R,e,s,8,4,F,48,4,3,5,Married,9908,10962,3,Y,No,3,1,80,2
209,53,No,Non-Travel,508,R,e,s,6,2,F,49,4,2,4,Divorced,12798,10801,3,Y,No,12,2,80,3
210,38,No,Non-Travel,506,T,e,c,2,3,M,49,2,3,5,Married,10893,11074,2,Y,No,10,3,80,2
211,30,No,Travel_Rarely,481,T,e,c,8,3,M,49,4,3,4,Married,10132,10240,4,Y,No,11,1,80,2
212,30,Yes,Non-Travel,518,T,e,c,2,2,F,48,4,3,4,Married,11156,9353,3,N,No,12,3,40,3
213,51,No,Non-Travel,506,S,a,l,2,3,F,49,4,2,2,Married,9184,9678,3,Y,No,5,1,80,3
214,27,No,Travel_Rarely,513,T,e,c,6,4,M,51,3,2,4,Married,8845,10193,4,Y,No,12,2,80,2
215,58,Yes,Non-Travel,495,R,e,s,3,4,F,46,4,3,3,Married,7691,10391,2,Y,No,12,1,80,3
216,38,No,Travel_Rarely,498,S,a,l,2,2,M,52,3,3,3,Divorced,10201,9230,1,Y,No,17,1,80,3
217,40,No,Travel_Frequently,499,S,a,l,7,2,M,51,3,2,2,Single,7858,9215,3,Y,No,19,1,80,2
218,34,No,Non-Travel,494,R,e,s,4,4,M,48,3,1,4,Married,11584,10858,2,Y,No,7,3,80,3
219,48,No,Non-Travel,503,R,e,s,7,2,M,49,3,3,3,Married,11199,11951,2,Y,Yes,13,3,80,2
220,53,No,Non-Travel,485,S,a,l,3,2,M,49,4,1,2,Divorced,10410,11055,4,Y,No,3,3,80,3
221,38,No,Travel_Rarely,491,S,a,l,4,3,F,50,2,3,4,Married,9171,8731,3,Y,No,12,1,80,3
222,45,No,Non-Travel,496,R,e,s,7,4,M,51,4,2,4,Divorced,9562,10059,2,Y,No,12,2,80,1
223,27,No,Non-Travel,515,R,e,s,4,4,M,53,3,2,4,Divorced,11110,10259,2,Y,No,16,2,80,1
224,23,No,Travel_Frequently,497,S,a,l,10,4,F,50,4,2,2,Married,9970,10583,4,Y,No,10,2,80,3
