,title,price,url
130,bunn vrp black coffee maker,$150,https://topeka.craigslist.org/for/d/berryton-bunn-vrp-black-coffee-maker/7656636323.html
131,Pug,$0,https://topeka.craigslist.org/for/d/lyndon-pug/7662827818.html
132,small pet bed,$20,https://topeka.craigslist.org/for/d/topeka-small-pet-bed/7657243365.html
133,Simply Sides .... side dishes,$5,https://topeka.craigslist.org/for/d/topeka-simply-sides-side-dishes/7666685538.html
134,METAL BUILDINGS CARPORT RV COVER STEEL GARAGE POLE BARN METAL BUILDING,$0,https://topeka.craigslist.org/fod/d/topeka-metal-buildings-carport-rv-cover/7666422367.html
135,METAL BUILDINGS CARPORT RV COVER STEEL GARAGE POLE BARN METAL BUILDING,$0,https://topeka.craigslist.org/fod/d/topeka-metal-buildings-carport-rv-cover/7666420830.html
136,2022 RZ-C Spartan Zero Turn Mowers,"$5,559",https://topeka.craigslist.org/fod/d/wakarusa-2022-rz-spartan-zero-turn/7666414038.html
137,toyota sienna 2002 6 cylinder,"$3,200",https://topeka.craigslist.org/for/d/topeka-toyota-sienna-cylinder/7666407862.html
138,Edificios de acero,$0,https://topeka.craigslist.org/fod/d/topeka-edificios-de-acero/7666332053.html
139,Storage Shipping Containers For Sale. GIVE USA CONTAINERS A CALL TODAY!,$0,https://topeka.craigslist.org/fod/d/topeka-storage-shipping-containers-for/7666233225.html
140,Autumn Beauty Sale!,$0,https://topeka.craigslist.org/for/d/holton-autumn-beauty-sale/7666223342.html
141,New Batch of Lawn Mowers for Sale,$0,https://topeka.craigslist.org/for/d/topeka-new-batch-of-lawn-mowers-for-sale/7655798432.html
142,Steel Buildings,$0,https://topeka.craigslist.org/fod/d/topeka-steel-buildings/7665890734.html
143,Krupps Waffle maker,$40,https://topeka.craigslist.org/for/d/topeka-krupps-waffle-maker/7665729206.html
144,Table top grill,$10,https://topeka.craigslist.org/for/d/topeka-table-top-grill/7665710305.html
145,Edificios de acero,$0,https://topeka.craigslist.org/fod/d/topeka-edificios-de-acero/7665601067.html
146,"Old Glass Window, Antique, Decor",$75,https://topeka.craigslist.org/for/d/sabetha-old-glass-window-antique-decor/7665537533.html
147,Husqvarva z246,"$2,250",https://topeka.craigslist.org/for/d/burlington-husqvarva-z246/7665429198.html
148,10 gallon fish tank with everything,$40,https://topeka.craigslist.org/for/d/topeka-10-gallon-fish-tank-with/7665369692.html
149,Storage Shipping Containers For Sale- CALL USA CONTAINERS TODAY,$0,https://topeka.craigslist.org/fod/d/topeka-storage-shipping-containers-for/7665066183.html
150,Lemax Dickensvale Lighted Houses Christmas Village,$30,https://topeka.craigslist.org/for/d/topeka-lemax-dickensvale-lighted-houses/7664973259.html
151,Vintage pendulum clock with etched-glass door,$75,https://topeka.craigslist.org/for/d/topeka-vintage-pendulum-clock-with/7654707957.html
152,Vintage mirror with decorative frame,$50,https://topeka.craigslist.org/for/d/topeka-vintage-mirror-with-decorative/7654725458.html
153,2003 Dodge Ram 2500,"$11,000",https://topeka.craigslist.org/for/d/horton-2003-dodge-ram-2500/7664871769.html
154,THE NORTH FACE Hammerhead Flight Series hydration pack w/bladder,$50,https://topeka.craigslist.org/for/d/lawrence-the-north-face-hammerhead/7654103762.html
155,Ultimate Direction Wasp hydration vest/pack w/bladder hike/ultra race,$25,https://topeka.craigslist.org/for/d/lawrence-ultimate-direction-wasp/7654096309.html
156,Ultimate Direction Anton Krupicka race vest M/L w/2 new 20oz. bottles,$20,https://topeka.craigslist.org/for/d/lawrence-ultimate-direction-anton/7654085569.html
157,24 Metal Door Handles,$18,https://topeka.craigslist.org/for/d/topeka-24-metal-door-handles/7664741355.html
158,Margarita Mixes,$25,https://topeka.craigslist.org/for/d/topeka-margarita-mixes/7654344242.html
159,FERRETS FOR SALE,$400,https://topeka.craigslist.org/for/d/topeka-ferrets-for-sale/7664610342.html
160,"Wilton 12 pc Monthly Metal Cookie Cutters, L.O.L Surprise, Party Suppl",$10,https://topeka.craigslist.org/for/d/topeka-wilton-12-pc-monthly-metal/7654348078.html
161,Used Oilfield Equyipment,"$10,000",https://topeka.craigslist.org/for/d/lawrence-used-oilfield-equyipment/7664503371.html
162,Selkirk 6” stovepipe “T”,$75,https://topeka.craigslist.org/for/d/overbrook-selkirk-stovepipe/7664456447.html
163,Pool 14 x48 ne this year,$250,https://topeka.craigslist.org/for/d/berryton-pool-14-x48-ne-this-year/7664443066.html
164,1989 Chevy Silverado K1500,"$15,000",https://topeka.craigslist.org/for/d/hoyt-1989-chevy-silverado-k1500/7664396412.html
165,clock,$65,https://topeka.craigslist.org/for/d/hoyt-clock/7664387786.html
166,Belgian Malinois,$0,https://topeka.craigslist.org/for/d/overbrook-belgian-malinois/7664346114.html
167,Great Condition Ti Lite Areo Z Wheelchair,$500,https://topeka.craigslist.org/for/d/topeka-great-condition-ti-lite-areo/7664326817.html
168,Proform SPX 500 indoor cycle,$100,https://topeka.craigslist.org/for/d/topeka-proform-spx-500-indoor-cycle/7664317443.html
169,Louis Vuitton (wallet),$60,https://topeka.craigslist.org/for/d/topeka-louis-vuitton-wallet/7664163156.html
170,Reliance Aqua-Tainer - 7 gal. water container,$8,https://topeka.craigslist.org/for/d/topeka-reliance-aqua-tainer-gal-water/7653062515.html
171,"AIRELAX Self Inflating Sleeping Pad for Camping, 3 Inches Foam Camping",$45,https://topeka.craigslist.org/for/d/topeka-airelax-self-inflating-sleeping/7653063534.html
172,10 Red Cherry Shrimp (Neocaridina),$15,https://topeka.craigslist.org/for/d/topeka-10-red-cherry-shrimp-neocaridina/7663823548.html
173,Vintage Marlboro sign,$125,https://topeka.craigslist.org/for/d/emporia-vintage-marlboro-sign/7663779108.html
174,40 gallon tank & accessories,$275,https://topeka.craigslist.org/for/d/topeka-40-gallon-tank-accessories/7663769786.html
175,Under The Sink Mat,$20,https://topeka.craigslist.org/for/d/topeka-under-the-sink-mat/7653864577.html
176,Genteq ECM Blower- fan Motors,$60,https://topeka.craigslist.org/for/d/eskridge-genteq-ecm-blower-fan-motors/7663618389.html
177,Diatomaceous Earth,$10,https://topeka.craigslist.org/for/d/eskridge-diatomaceous-earth/7663618339.html
178,3 ring hanging binders  29 total,$25,https://topeka.craigslist.org/for/d/tecumseh-ring-hanging-binders-29-total/7663579104.html
179,Tea machine / Dispenser 860,$50,https://topeka.craigslist.org/for/d/topeka-tea-machine-dispenser-860/7663543754.html
180,heavy steel fireplace insert,$65,https://topeka.craigslist.org/for/d/topeka-heavy-steel-fireplace-insert/7655660412.html
181,55 Gallon Metal Barrels,$20,https://topeka.craigslist.org/for/d/tecumseh-55-gallon-metal-barrels/7652973816.html
182,★ SALE ★ SHIPPING/STORAGE/CONNEX CONTAINERS – 20FT & 40FT NEW &,"$1,850",https://topeka.craigslist.org/fod/d/sale-shipping-storage-connex-containers/7663296365.html
183,Storage Shipping Containers For Sale. GIVE USA CONTAINERS A CALL TODAY!,$0,https://topeka.craigslist.org/fod/d/topeka-storage-shipping-containers-for/7663272661.html
184,METAL BUILDINGS CARPORT RV COVER STEEL GARAGE POLE BARN METAL BUILDING,$0,https://topeka.craigslist.org/fod/d/topeka-metal-buildings-carport-rv-cover/7663100419.html
185,METAL BUILDINGS CARPORT RV COVER STEEL GARAGE POLE BARN METAL BUILDING,$0,https://topeka.craigslist.org/fod/d/topeka-metal-buildings-carport-rv-cover/7663100394.html
186,METAL BUILDINGS CARPORT RV COVER STEEL GARAGE POLE BARN METAL BUILDING,$0,https://topeka.craigslist.org/fod/d/topeka-metal-buildings-carport-rv-cover/7663100378.html
187,Authentic Pizza Oven,"$1,750",https://topeka.craigslist.org/fod/d/wakarusa-authentic-pizza-oven/7663078973.html
188,Vending Business Opportunity!!,$1,https://topeka.craigslist.org/fod/d/topeka-vending-business-opportunity/7662989161.html
189,Brand new 325 gallon hydroseeedr (warranty),"$4,750",https://topeka.craigslist.org/fod/d/topeka-brand-new-325-gallon-hydroseeedr/7662976938.html
190,2023 AGT 1 Ton Briggs & Stratton 13HP Mini Excavator Digger Kubota,"$7,499",https://topeka.craigslist.org/fod/d/chouteau-2023-agt-ton-briggs-stratton/7662952019.html
191,ferret cage,$75,https://topeka.craigslist.org/for/d/topeka-ferret-cage/7662722931.html
192,Four person Hot Tub,$450,https://topeka.craigslist.org/for/d/topeka-four-person-hot-tub/7662600407.html
193,Dog House,$100,https://topeka.craigslist.org/for/d/topeka-dog-house/7662598247.html
194,Storage Shipping Containers For Sale. GIVE USA CONTAINERS A CALL TODAY!,$0,https://topeka.craigslist.org/fod/d/topeka-storage-shipping-containers-for/7662523752.html
195,Canopy/sunshade NO frame,$20,https://topeka.craigslist.org/for/d/topeka-canopy-sunshade-no-frame/7656870611.html
196,2004 Ford E450 box truck 16 ft white,"$6,000",https://topeka.craigslist.org/for/d/fort-riley-2004-ford-e450-box-truck-16/7662367324.html
197,30x40x10–POLE BARN/Post Frame,"$18,500",https://topeka.craigslist.org/fod/d/nacogdoches-30x40x10pole-barn-post-frame/7662297043.html
198,"Fenton Opalescent Glass Basket , Egg & Rose Butterfly Bowl Dish",$35,https://topeka.craigslist.org/for/d/topeka-fenton-opalescent-glass-basket/7662114333.html
199,cat for adoption,$25,https://topeka.craigslist.org/for/d/topeka-cat-for-adoption/7662074500.html
200,Trax 6000 trailer mover,"$1,200",https://topeka.craigslist.org/for/d/topeka-trax-6000-trailer-mover/7656827215.html
201,Ratchet straps,$10,https://topeka.craigslist.org/for/d/topeka-ratchet-straps/7661989664.html
202,Spine display,$65,https://topeka.craigslist.org/for/d/topeka-spine-display/7661969509.html
203,Feet warmer,$25,https://topeka.craigslist.org/for/d/topeka-feet-warmer/7661941975.html
204,Shop light,$10,https://topeka.craigslist.org/for/d/topeka-shop-light/7661927138.html
205,Push mower,$65,https://topeka.craigslist.org/for/d/topeka-push-mower/7661916381.html
206,Shop light,$20,https://topeka.craigslist.org/for/d/topeka-shop-light/7661912689.html
207,Windows New,$30,https://topeka.craigslist.org/for/d/holton-windows-new/7661561109.html
208,Great condition Mini Educator Dog Ecollar,$110,https://topeka.craigslist.org/for/d/topeka-great-condition-mini-educator/7661416406.html
209,"Pole Barns,Shops,Man Caves","$31,000",https://topeka.craigslist.org/fod/d/wakarusa-pole-barnsshopsman-caves/7661307611.html
210,Steel Buildings,$0,https://topeka.craigslist.org/fod/d/topeka-steel-buildings/7661301836.html
211,(2) Sawtooth Picture Hangers - 100 Pack - $20,$20,https://topeka.craigslist.org/for/d/topeka-sawtooth-picture-hangers-pack-20/7650888828.html
